iter	Passed	Remaining
759	1288	406
760	1290	405
761	1291	403
762	1292	401
763	1294	399
764	1296	398
765	1297	396
766	1298	394
767	1300	392
768	1301	391
769	1303	389
770	1305	387
771	1306	385
772	1308	384
773	1309	382
774	1310	380
775	1312	378
776	1313	377
777	1315	375
778	1316	373
779	1318	371
780	1319	370
781	1320	368
782	1322	366
783	1323	364
784	1325	363
785	1326	361
786	1328	359
787	1330	357
788	1331	356
789	1332	354
790	1334	352
791	1335	350
792	1337	349
793	1339	347
794	1340	345
795	1342	343
796	1343	342
797	1345	340
798	1346	338
799	1348	337
800	1349	335
801	1351	333
802	1352	331
803	1354	330
804	1355	328
805	1357	326
806	1358	324
807	1360	323
808	1361	321
809	1363	319
810	1364	317
811	1365	316
812	1367	314
813	1368	312
814	1370	311
815	1371	309
816	1373	307
817	1374	305
818	1376	304
819	1377	302
820	1378	300
821	1380	298
822	1381	297
823	1383	295
824	1384	293
825	1386	292
826	1387	290
827	1389	288
828	1390	286
829	1392	285
830	1393	283
831	1395	281
832	1396	279
833	1398	278
834	1399	276
835	1400	274
836	1402	273
837	1403	271
838	1405	269
839	1406	267
840	1408	266
841	1409	264
842	1411	262
843	1412	261
844	1414	259
845	1415	257
846	1416	255
847	1418	254
848	1419	252
849	1421	250
850	1422	249
851	1423	247
852	1425	245
853	1426	243
854	1427	242
855	1429	240
856	1431	238
857	1432	237
858	1433	235
859	1435	233
860	1436	231
861	1438	230
862	1439	228
863	1441	226
864	1442	225
865	1443	223
866	1445	221
867	1446	220
868	1448	218
869	1449	216
870	1451	214
871	1452	213
872	1453	211
873	1455	209
874	1456	208
875	1458	206
876	1459	204
877	1460	202
878	1462	201
879	1463	199
880	1464	197
881	1466	196
882	1467	194
883	1469	192
884	1470	191
885	1472	189
886	1473	187
887	1474	186
888	1476	184
889	1477	182
890	1479	180
891	1480	179
892	1481	177
893	1483	175
894	1484	174
895	1486	172
896	1487	170
897	1489	169
898	1490	167
899	1491	165
900	1493	164
901	1495	162
902	1496	160
903	1498	159
904	1499	157
905	1500	155
906	1502	154
907	1503	152
908	1504	150
909	1506	148
910	1507	147
911	1508	145
912	1510	143
913	1511	142
914	1513	140
915	1514	138
916	1516	137
917	1517	135
918	1518	133
919	1520	132
920	1521	130
921	1522	128
922	1524	127
923	1525	125
924	1527	123
925	1528	122
926	1529	120
927	1531	118
928	1532	117
929	1534	115
930	1535	113
931	1536	112
932	1538	110
933	1539	108
934	1541	107
935	1542	105
936	1543	103
937	1545	102
938	1546	100
939	1547	98
940	1549	97
941	1550	95
942	1552	93
943	1554	92
944	1555	90
945	1557	88
946	1558	87
947	1560	85
948	1561	83
949	1562	82
950	1564	80
951	1566	78
952	1567	77
953	1568	75
954	1570	74
955	1572	72
956	1574	70
957	1575	69
958	1577	67
959	1578	65
960	1579	64
961	1581	62
962	1582	60
963	1584	59
964	1585	57
965	1586	55
966	1588	54
967	1589	52
968	1591	50
969	1592	49
970	1594	47
971	1595	45
972	1596	44
973	1598	42
974	1599	41
975	1601	39
976	1602	37
977	1604	36
978	1605	34
979	1607	32
980	1608	31
981	1610	29
982	1611	27
983	1613	26
984	1614	24
985	1615	22
986	1617	21
987	1618	19
988	1620	18
989	1621	16
990	1623	14
991	1624	13
992	1626	11
993	1627	9
994	1629	8
995	1630	6
996	1632	4
997	1633	3
998	1634	1
999	1636	0
